Kairi,Kairi Medical Clinic
Kakimanyi,Kakimanyi Dispensary
Kalimoni Ruiru,Kalimoni Hospital (Ruiru)
Kalimoni Juja,Kalimoni Mission Hospital (Juja)
Kaloleni Dispensary,Kaloleni Dispensary
Kaloleni Health,Kaloleni Health Services
kam pharmacy harambee avenue,kam pharmacy harambee avenue
KAM Pharmacy IPS Building Kimathi Street,KAM Pharmacy IPS Building Kimathi Street
KAM Pharmacy Westlands,KAM Pharmacy Westlands
Kamae Forest,Kamae Forest Dispensary
Kamae Medical,Kamae Medical Clinic
Kamahindu AIC,Kamahindu (AIC) Medical Centre
kamasielo,kamasielo dispensary
kambini,kambini dispensary
Kambui PCEA,Kambui (PCEA) Dispensary
Kamburu PCEA,Kamburu (PCEA) Dispensary
Kamburu,Kamburu Dispensary
Kamenjo,Kamenjo Dispensary
Kamirithu,Kamirithu Medical Clinic
Kamiti Prison,Kamiti Prison Hospital
Kamuchege,Kamuchege Dispensary
Kamukuywa ACK,Kamukuywa (ACK) Dispensary
Kamukuywa,Kamukuywa Dispensary
Kamuneru,Kamuneru Dispensary
kamunyaka,kamunyaka dispensary
Kamusinde,Kamusinde Dispensary
Kamwangi,Kamwangi Health Services
Kamwitha,Kamwitha Medical Clinic
Kanduyi CWSK,Kanduyi Health Centre-CWSK
Kanganga,Kanganga Dispensary
Kangari,Kangari Medical Clinic
Kangemi,Kangemi Health Centre
Kanyoni community,Kanyoni Community Dispensary
Kapkateny,Kapkateny Dispensary
Kapkota,Kapkota Dispensary
Kapsambu,Kapsambu Dispensary
Kaptalelio,Kaptalelio Dispensary
Kaptama Friends,Kaptama (Friends) Health Centre
Kaptanai,Kaptanai Dispensary
Kapu,Kapu Medical Clinic
Karanja community,Karanja Community Clinic
